pubid,gsid,univ
10115224929986088762,YZHj-Y4AAAAJ,Stanford University
10115555882907655574,fnVvzq8AAAAJ,University of California - Santa Cruz
10115886319578220186,c-LG6-MAAAAJ,University of Colorado Boulder
10115886319578220186,hvs8PEoAAAAJ,University of Pennsylvania
10116133478794220564,pxFyKAIAAAAJ,Texas A&M University
10117077927937928359,CHIZtZAAAAAJ,University of Michigan
10117691313078203982,B56JLs0AAAAJ,Kansas State University
10117786831292107373,IEHo6YcAAAAJ,North Carolina State University
1011868567566197930,C6Pd5zoAAAAJ,University of California - San Diego
1011868567566197930,CeieiIgAAAAJ,University of California - San Diego
1011868567566197930,H3wb878AAAAJ,University of California - San Diego
1011868567566197930,I1w51gUAAAAJ,University of California - San Diego
10119389395976937235,H0Y2wgUAAAAJ,University of California - Riverside
10120501515048983403,1jjyaBYAAAAJ,Georgia Institute of Technology
10120624892037604332,qcydYi8AAAAJ,University of Utah
10121067276301757698,AQA5QtAAAAAJ,University of Pittsburgh
10121067276301757698,UR4eDW4AAAAJ,University of Pittsburgh
10121607307769967050,oq8WAwsAAAAJ,Harvard University
10121607307769967050,wIujAJoAAAAJ,Johns Hopkins University
101216489333439062,cVDF1tkAAAAJ,Rutgers University
10122845743453467762,rsGmH38AAAAJ,University of California - Berkeley
10123139807493018735,wSQ6KZYAAAAJ,NJIT
10123248687041820762,wlosgkoAAAAJ,Carnegie Mellon University
10123502079891374078,zh0DETsAAAAJ,DePaul University
10123774435195964552,o-4PzycAAAAJ,Case Western Reserve University
10123861783018592266,z7GCqT4AAAAJ,Univ. of Illinois at Urbana-Champaign
10124059332831446060,kXRSW2QAAAAJ,University of Connecticut
10124444874969894243,6s2hs3oAAAAJ,Duke University
10124496505331937460,f3g5oeEAAAAJ,Stanford University
10124851464835467351,8TwcVQcAAAAJ,University of Massachusetts Amherst
10124851464835467351,ey960FIAAAAJ,University of Massachusetts Amherst
1012486966603984505,e7V7-gEAAAAJ,Stanford University
10125048025627837632,KJPGePAAAAAJ,New Mexico State University
10125486618490340188,becbtxgAAAAJ,University of Colorado Boulder
10125844733280531855,0y6JDD4AAAAJ,Carnegie Mellon University
1012597512704545679,9UERvVEAAAAJ,Brown University
1012597512704545679,Pd8-ju0AAAAJ,Brown University
1012597512704545679,tkb2YWQAAAAJ,Brown University
10126744622890329804,gaO-vS4AAAAJ,Johns Hopkins University
10127119012746201587,HF2G3LAAAAAJ,University of Pennsylvania
1012973965413760083,uT9We9MAAAAJ,Princeton University
10130900480189385431,JDctypMAAAAJ,Vanderbilt University
1013126946468901202,hiCKhpkAAAAJ,University of California - Irvine
10131761603845939827,sJ7wlksAAAAJ,Univ. of Maryland - Baltimore County
10131962389878686119,CuIuzUsAAAAJ,Stevens Institute of Technology
10131962389878686119,F2TyKRgAAAAJ,University of Nevada
10133011745041928950,beAeG20AAAAJ,Texas A&M University
10133205369710328828,iTtzc1UAAAAJ,Pennsylvania State University
1013374842296259735,pNaNj8EAAAAJ,University of Pennsylvania
10134145675356228253,uBbYp8gAAAAJ,University of Iowa
10134172362230117358,gyLFs0IAAAAJ,College of William and Mary
10134202802177263240,FrMOlk8AAAAJ,Arizona State University
10135060427935472921,pPB_WK0AAAAJ,Univ. of Illinois at Urbana-Champaign
1013524421628726142,tY9bQTkAAAAJ,University of South Carolina
10136040591923340004,GP64q_kAAAAJ,University of California - Berkeley
10136586122280720933,L82mYv8AAAAJ,Yale University
10136812054404373274,8OTNELUAAAAJ,University of North Texas
