gsid,name,university
5H0arvkAAAAJ,David A. Forsyth,Univ. of Illinois at Urbana-Champaign
5iB3-eMAAAAJ,Leszek T. Lilien,Western Michigan University
5JlEyTAAAAAJ,Leonidas J. Guibas,Stanford University
5KgriYAAAAAJ,Jason Leigh,University of Hawaii at Manoa
5kL-ZrAAAAAJ,Ness B. Shroff,Ohio State University
5LLV29oAAAAJ,Shivaram Venkataraman,University of Wisconsin - Madison
5m5ds6UAAAAJ,David F. Gleich,Purdue University
5mIkNyYAAAAJ,Gillian R. Hayes,University of California - Irvine
5m-oAesAAAAJ,Sarita V. Adve,Univ. of Illinois at Urbana-Champaign
5nmElSoAAAAJ,Rezaul Chowdhury,Stony Brook University
5orKjqgAAAAJ,Zoltán Toroczkai,University of Notre Dame
5oU0wxcAAAAJ,Martha E. Pollack,University of Michigan
5ouAiisAAAAJ,Eakta Jain,University of Florida
5oW_MA8AAAAJ,Marouane Kessentini,University of Michigan-Dearborn
5oWxowoAAAAJ,Emily Morgan Hand,University of Nevada
5P7Vo2IAAAAJ,Erin Walker,Arizona State University
5PBPqeQAAAAJ,Laurent Lessard,University of Wisconsin - Madison
5pKTRxEAAAAJ,Eric Xing,Carnegie Mellon University
5QcR0JYAAAAJ,Kristen Walcott-Justice,Univ. of Colorado Colorado Springs
5QL8V68AAAAJ,Xuehai Qian,University of Southern California
5Qrq3p0AAAAJ,Kyoung-Don Kang,Binghamton University
5qwfn20AAAAJ,Sencun Zhu,Pennsylvania State University
5-s3bS8AAAAJ,Peter J. Sadowski,University of Hawaii at Manoa
5tcfuXMAAAAJ,Jignesh M. Patel,University of Wisconsin - Madison
_5tjpG0AAAAJ,Eileen T. Kraemer,Clemson University
5tk1PV8AAAAJ,Thorsten Joachims,Cornell University
5TZ7f5wAAAAJ,Jeff Clune,University of Wyoming
5TzQdR4AAAAJ,Julie A. Adams,Oregon State University
5uC1slsAAAAJ,Gregory J. Zelinsky,Stony Brook University
5V852JcAAAAJ,Vyas Sekar,Carnegie Mellon University
5vAwdfoAAAAJ,George T. Heineman,Worcester Polytechnic Institute
5wgTi1AAAAAJ,Stéphane Lafortune,University of Michigan
5wppdUoAAAAJ,Brendan Juba,Washington University in St. Louis
5XZQO_sAAAAJ,Bruce M. McMillin,Missouri University of Technology
5yT3GScAAAAJ,Matthias Scheutz,Tufts University
5ZTO0uMAAAAJ,Madhur Tulsiani,TTI Chicago
61b6eYkAAAAJ,Qi Tian 0001,University of Texas at San Antonio
61uuS7YAAAAJ,Michelangelo Grigni,Emory University
62GM5XcAAAAJ,Robert A. van de Geijn,University of Texas at Austin
653GqXUAAAAJ,Biao Chen,Syracuse University
65VCOs0AAAAJ,Manos Kapritsos,University of Michigan
66qppJsAAAAJ,Steven J. Gortler,Harvard University
67aYFTQAAAAJ,Dana H. Ballard,University of Texas at Austin
67kghxAAAAAJ,David A. Wagner 0001,University of California - Berkeley
6c5cf1wAAAAJ,Phoebe Sengers,Cornell University
-6cOYcYAAAAJ,Steven M. Seitz,University of Washington
6CTPn44AAAAJ,Jennifer Neville,Purdue University
6_cxCKQAAAAJ,Mohammad Alizadeh,Massachusetts Institute of Technology
6dDd-M4AAAAJ,Daniel J. Dougherty,Worcester Polytechnic Institute
6enh82kAAAAJ,V. N. Venkatakrishnan,University of Illinois at Chicago
6eun8QkAAAAJ,T. N. Vijaykumar,Purdue University
6F5tt2sAAAAJ,Francisco Servant,Virginia Tech
6Ff2c8wAAAAJ,Erik D. Demaine,Massachusetts Institute of Technology
6h7b0fAAAAAJ,Jennifer G. Dy,Northeastern University
6HE56R8AAAAJ,Dennis M. Volpano,Naval Postgraduate School
6IHX8J4AAAAJ,Henning Schulzrinne,Columbia University
6IinLVUAAAAJ,Brent J. Hecht,Northwestern University
6IxWYR0AAAAJ,Linda R. Petzold,University of California - Santa Barbara
6JEDxqcAAAAJ,Anand Rangarajan 0001,University of Florida
6JU9KqgAAAAJ,Raj Rajkumar,Carnegie Mellon University
6jzveA4AAAAJ,Ramakrishnan Durairajan,University of Oregon
6K6lvxAAAAAJ,Xiaohui Gu,North Carolina State University
6Kuq1acAAAAJ,Zhiqiang Lin,Ohio State University
6lNd480AAAAJ,Elaine Cohen,University of Utah
6m1ptOgAAAAJ,Srikumar Ramalingam,University of Utah
6n7rzokAAAAJ,Raj Reddy,Carnegie Mellon University
6_oL_9IAAAAJ,Muriel Médard,Massachusetts Institute of Technology
6qaOBTMAAAAJ,Robert van Engelen,Florida State University
6qE0tdAAAAAJ,Ron Rivest,Massachusetts Institute of Technology
6rPWxsgAAAAJ,Guanhua Yan,Binghamton University
6s2hs3oAAAAJ,Alvin R. Lebeck,Duke University
6sQtqo8AAAAJ,Longin Jan Latecki,Temple University
6VDjaN4AAAAJ,Changwoo Min,Virginia Tech
6VuiGBQAAAAJ,Mark W. Craven,University of Wisconsin - Madison
6vXTtDQAAAAJ,Samir Khuller,Northwestern University
6YU6_QoAAAAJ,Scott E. Hudson,Carnegie Mellon University
6z6j91UAAAAJ,Bart P. Knijnenburg,Clemson University
6zq-c5cAAAAJ,Nian-Feng Tzeng,University of Louisiana - Lafayette
70oIOKIAAAAJ,Philip K. McKinley,Michigan State University
70vJVxcAAAAJ,Jayadev Acharya,Cornell University
71BFWc0AAAAJ,Philip Resnik,University of Maryland - College Park
71OktocAAAAJ,Eric Gilbert,University of Michigan
71RQt3sAAAAJ,Ruzica Piskac,Yale University
71RtIxoAAAAJ,Aisling Kelliher,Virginia Tech
71ZEsnEAAAAJ,Jason Pacheco,University of Arizona
72RvQTgAAAAJ,Sabarish V. Babu,Clemson University
738WppcAAAAJ,David R. O'Hallaron,Carnegie Mellon University
77kOUvYAAAAJ,Ansaf Salleb,Columbia University
78OLNd4AAAAJ,Adam M. Smith,University of California - Santa Cruz
7anf7aEAAAAJ,Christian Poellabauer,University of Notre Dame
7ASJ6JoAAAAJ,Aparna Chandramowlishwaran,University of California - Irvine
7b_ipvgAAAAJ,Stacy Patterson,Rensselaer Polytechnic Institute
7BM1uyYAAAAJ,Saurabh Sinha,Univ. of Illinois at Urbana-Champaign
7cF0q3YAAAAJ,Akira Kawaguchi,CUNY
7eC3KMkAAAAJ,Devika Subramanian,Rice University
7FXtL98AAAAJ,Dhabaleswar K. Panda,Ohio State University
7G5G9mkAAAAJ,Indrakshi Ray,Colorado State University
7hR0r_EAAAAJ,Caiwen Ding,University of Connecticut
7IiUQDkAAAAJ,Arun Ross,Michigan State University
7j3itaMAAAAJ,Chandra Chekuri,Univ. of Illinois at Urbana-Champaign
7jKj_NcAAAAJ,Tran Cao Son,New Mexico State University
7jNkTbYAAAAJ,Mark Dredze,Johns Hopkins University
7jTNT1IAAAAJ,Ali Borji,University of Central Florida
7LTGov4AAAAJ,Michael A. Goodrich,Brigham Young University
7lVfIWYAAAAJ,Mark D. Hill,University of Wisconsin - Madison
7m5-SfEAAAAJ,James W. Mickens,Harvard University
7m7TYQsAAAAJ,Jason Power,University of California - Davis
7Mg8JZMAAAAJ,John M. Carroll,Pennsylvania State University
7MOW-j4AAAAJ,Andrew M. Childs,University of Maryland - College Park
_7Mz5cQAAAAJ,Marius Zimand,Towson University
7nlvOMQAAAAJ,Tianqi Chen,Carnegie Mellon University
7oD2ZL8AAAAJ,Parris K. Egbert,Brigham Young University
7OvZhQIAAAAJ,Hyesoon Kim,Georgia Institute of Technology
7pcpDQ8AAAAJ,Xiaoyin Wang,University of Texas at San Antonio
